ID,UID,Clade
105,X105,A
104,X104,A
108,X108,A
117,X117,A
109,X109,A
110,X110,A
107,X107,A
116,X116,A
119,X119,A
113,X113,A
106,X106,A
111,X111,A
112,X112,A
114,X114,A
115,X115,A
118,X118,A
120,X120,A
121,X121,A
122,X122,B
128,X128,C
135,X135,C
130,X130,C
132,X132,C
129,X129,C
124,X124,C
126,X126,C
138,X138,C
174,X174,C
133,X133,C
134,X134,C
127,X127,C
168,X168,C
141,X141,C
131,X131,C
136,X136,C
137,X137,C
139,X139,C
147,X147,C
123,X123,C
153,X153,C
148,X148,C
149,X149,C
150,X150,C
154,X154,C
173,X173,C
140,X140,C
142,X142,C
144,X144,C
145,X145,C
146,X146,C
151,X151,C
152,X152,C
169,X169,D
171,X171,D
159,X159,D
156,X156,D
170,X170,D
155,X155,D
161,X161,D
160,X160,D
172,X172,D
158,X158,D
157,X157,D
162,X162,F
163,X163,F
166,X166,F
164,X164,F
165,X165,F
167,X167,H
Other,Other,mixed
