Sample,Zone,Type,Species,Species_full,Ecology,Ecology_corsp
19CHOR1,Fore reef,Feces,CHOR,Chaetodon ornatissimus,Obligate corallivore,Obligate corallivore
19CHOR2,Fore reef,Feces,CHOR,Chaetodon ornatissimus,Obligate corallivore,Obligate corallivore
19CHOR3,Fore reef,Feces,CHOR,Chaetodon ornatissimus,Obligate corallivore,Obligate corallivore
19CHOR4,Fore reef,Feces,CHOR,Chaetodon ornatissimus,Obligate corallivore,Obligate corallivore
19CHOR5,Fore reef,Feces,CHOR,Chaetodon ornatissimus,Obligate corallivore,Obligate corallivore
19CHOR6,Fore reef,Feces,CHOR,Chaetodon ornatissimus,Obligate corallivore,Obligate corallivore
19CHOR7,Fore reef,Feces,CHOR,Chaetodon ornatissimus,Obligate corallivore,Obligate corallivore
19CHOR8,Fore reef,Feces,CHOR,Chaetodon ornatissimus,Obligate corallivore,Obligate corallivore
19CHOR9,Back reef,Feces,CHOR,Chaetodon ornatissimus,Obligate corallivore,Obligate corallivore
19CHOR10,Back reef,Feces,CHOR,Chaetodon ornatissimus,Obligate corallivore,Obligate corallivore
19CHOR11,Back reef,Feces,CHOR,Chaetodon ornatissimus,Obligate corallivore,Obligate corallivore
19CHOR12,Back reef,Feces,CHOR,Chaetodon ornatissimus,Obligate corallivore,Obligate corallivore
19CHOR13,Back reef,Feces,CHOR,Chaetodon ornatissimus,Obligate corallivore,Obligate corallivore
19CHOR14,Back reef,Feces,CHOR,Chaetodon ornatissimus,Obligate corallivore,Obligate corallivore
19CTFL1,Fore reef,Feces,CTFL,Ctenochaetus flavicauda,Algivore,Algivore
19CTFL2,Fore reef,Feces,CTFL,Ctenochaetus flavicauda,Algivore,Algivore
19CTFL3,Fore reef,Feces,CTFL,Ctenochaetus flavicauda,Algivore,Algivore
19CTFL4,Fore reef,Feces,CTFL,Ctenochaetus flavicauda,Algivore,Algivore
19CTFL5,Fore reef,Feces,CTFL,Ctenochaetus flavicauda,Algivore,Algivore
19CTFL6,Fore reef,Feces,CTFL,Ctenochaetus flavicauda,Algivore,Algivore
19CTFL7,Fore reef,Feces,CTFL,Ctenochaetus flavicauda,Algivore,Algivore
19CTFL8,Fore reef,Feces,CTFL,Ctenochaetus flavicauda,Algivore,Algivore
19CHSP1,Fore reef,Feces,CHSP,Chlorurus spilurus,Facultative corallivore,Facultative corallivore
19CHSP2,Fore reef,Feces,CHSP,Chlorurus spilurus,Facultative corallivore,Facultative corallivore
19CHSP3,Fore reef,Feces,CHSP,Chlorurus spilurus,Facultative corallivore,Facultative corallivore
19CHSP4,Fore reef,Feces,CHSP,Chlorurus spilurus,Facultative corallivore,Facultative corallivore
19CHSP5,Fore reef,Feces,CHSP,Chlorurus spilurus,Facultative corallivore,Facultative corallivore
19CHSP6,Fore reef,Feces,CHSP,Chlorurus spilurus,Facultative corallivore,Facultative corallivore
19CHSP7,Fore reef,Feces,CHSP,Chlorurus spilurus,Facultative corallivore,Facultative corallivore
19CHSP8,Fore reef,Feces,CHSP,Chlorurus spilurus,Facultative corallivore,Facultative corallivore
19CHCI1,Back reef,Feces,CHCI,Chaetodon citrinellus,Facultative corallivore,Facultative corallivore
19CHCI2,Back reef,Feces,CHCI,Chaetodon citrinellus,Facultative corallivore,Facultative corallivore
19CHCI3,Back reef,Feces,CHCI,Chaetodon citrinellus,Facultative corallivore,Facultative corallivore
19CHCI4,Back reef,Feces,CHCI,Chaetodon citrinellus,Facultative corallivore,Facultative corallivore
19CHCI5,Back reef,Feces,CHCI,Chaetodon citrinellus,Facultative corallivore,Facultative corallivore
19CHCI6,Back reef,Feces,CHCI,Chaetodon citrinellus,Facultative corallivore,Facultative corallivore
19CHLU1,Fore reef,Feces,CHLU,Chaetodon lunulatus,Obligate corallivore,Obligate corallivore
19CHLU2,Back reef,Feces,CHLU,Chaetodon lunulatus,Obligate corallivore,Obligate corallivore
19CHLU3,Back reef,Feces,CHLU,Chaetodon lunulatus,Obligate corallivore,Obligate corallivore
19CHLU4,Back reef,Feces,CHLU,Chaetodon lunulatus,Obligate corallivore,Obligate corallivore
